Neighborhood,Year,Alarm,Fire,Potentially Life-Threatening,Non Life-threatening
Mission Bay,2016,4.422264875,5.659259259,6.365217391,11.25492468
Financial District/South Beach,2018,4.951254334,6.588028169,6.366868932,11
Outer Richmond,2019,4.771613833,8.887978142,6.368085106,10
Portola,2017,5.294117647,6.153846154,6.377902322,10.21142857
Outer Mission,2019,4.879464286,7.68115942,6.380422692,10
Mission Bay,2012,4.908937605,6.145454545,6.384771574,11
Outer Mission,2015,5.002164502,6.71875,6.385985748,9.583828775
West of Twin Peaks,2012,5.676056338,23.99552573,6.390518084,9
Golden Gate Park,2014,5.352601156,6.65,6.391853933,9.174563591
Outer Mission,2016,4.763157895,6.532467532,6.392405063,9.167023555
Marina,2017,5.577171572,7.896341463,6.393739703,9
Excelsior,2012,4.957540264,9.878228782,6.396188159,10
West of Twin Peaks,2019,5.450357427,7.287671233,6.396278702,10
North Beach,2019,4.57712766,7.622641509,6.397083333,11
North Beach,2015,4.562714777,6.426666667,6.402286136,10.94939966
Sunset/Parkside,2013,5.274983671,7.112852665,6.404881238,9
Bernal Heights,2018,4.933415536,7.574380165,6.420892495,10
Bernal Heights,2012,4.987477639,9.170212766,6.422077922,10
Outer Richmond,2015,4.887288136,8.558490566,6.430661384,10
West of Twin Peaks,2018,5.287728027,9.064102564,6.454657366,9
Sunset/Parkside,2017,5.283830275,7.112403101,6.454982244,9
Mission Bay,2019,4.709620477,6.229885057,6.469860065,11
West of Twin Peaks,2016,5.480854853,6.666666667,6.472303207,9.300215983
Financial District/South Beach,2015,4.975023563,6.242358079,6.47275518,11
Oceanview/Merced/Ingleside,2018,5.393280632,8.224299065,6.492021277,9.298602287
Portola,2018,5.529780564,6.887640449,6.499169435,9.954727031
Seacliff,2013,5.424242424,7.9,6.513274336,10.87234043
Sunset/Parkside,2012,5.566539924,9.086486486,6.516476126,9
Bernal Heights,2016,5.01980198,18.578125,6.519924099,10
Seacliff,2019,5.389312977,7.593220339,6.52173913,8.923076923
Lincoln Park,2018,6.3,9.038461538,6.534246575,15.06976744
Bayview Hunters Point,2013,5.041410185,8.681318681,6.535282788,10
Financial District/South Beach,2016,4.907227854,6.934599156,6.536890893,12
Oceanview/Merced/Ingleside,2012,5.129139073,9.892703863,6.5410691,9
Financial District/South Beach,2014,4.79047619,6.669603524,6.553520682,11
North Beach,2014,4.629720854,5.507575758,6.556312625,10.98937113
Bernal Heights,2015,4.91509434,6.225225225,6.559322034,10.51020408
Portola,2013,5.122377622,6.559633028,6.562280702,8.790145985
Bernal Heights,2019,5.108272506,6.190661479,6.564102564,10
Outer Richmond,2014,5.071556351,7.948402948,6.567203418,10
Glen Park,2019,5.333333333,6.06122449,6.57073955,9.496621622
Mission Bay,2015,4.344978166,5.514851485,6.573497466,10.92222222
Marina,2018,5.600262123,7.774193548,6.607680332,9.971103327
